word,translation(s)
"leiri", "camp"
"leino", "unhappy; sad; miserable; mournful; unfortunate"
"kyllästyä", "get tired; bored"
"into", "spirit"
"edellytys", "prerequisite"
"äskeinen", "recent"
"vastaava", "equivalent; corresponding"
"uskonnollinen", "religious"
"tili", "account"
"säästö", "saving"
"syyllisyys", "guilt"
"suoritus", "performance; execution"
"sika", "pig; swine"
"pystyyn", "up"
"pakkanen", "frost"
"osinko", "dividend"
"mestari", "master; champion"
"menneisyys", "past"
"käyttäjä", "user"
"huhu", "rumour; rumor"
"globaali", "global"
"esine", "thing; object; artifact"
"ainut", "only"
"yhteensä", "altogether; all told; in all"
"väestö", "population"
"vuosittain", "yearly; annually"
"varjo", "shadow; shade"
"sikäli", "as far; in that; in case; in so far as; so far"
"pehmeä", "soft; gentle; tender"
"määrittää", "define"
"hanke", "project; enterprise"
"halpa", "cheap; inexpensive"
"halata", "embrace; hug"
"varmuus", "confidence; assurance"
"vaihdella", "vary"
"tilalle", "instead; instead of; vice; in place of; in lieu of"
"tiede", "science"
"taru", "legend; myth; saga; fiction"
"rytmi", "rhythm; beat; tempo"
"runo", "poem"
"rinnalla", "beside; on your side; side by side"
"pukea", "dress"
"näkymä", "view"
"niinpä", "consequently"
"museo", "museum"
"maltti", "patience"
"koomikko", "comedian; comic"
"kiusaaja", "teaser"
"kirjallisuus", "literature"
"huuli", "lip"
"harmaa", "grey"
"valtti", "trump; asset; trump card"
"tutkinta", "investigation; inquiry"
"sentään", "at least"
"rento", "loose; easy; relaxed"
"rehellinen", "honest"
"oppositio", "opposition"
"naurattaa", "laugh"
"mäki", "hill"
"kärki", "point"
"kuvaus", "description"
"kumpikin", "both; either"
"kontakti", "contact"
"komissio", "commission"
"kenties", "possibly; maybe; perhaps"
"kaula", "neck; throat"
"kaikkiaan", "altogether"
"ilme", "expression; look; face"
"hyökkäys", "attack"
"historiallinen", "historic; historical"
"hallinto", "administration; management; government"
"elementti", "element"
"eeva", "girl; lady; wife; woman"
"avain", "key"
"äänestys", "vote; voting; poll"
"väite", "claim; allegation"
"vienti", "export"
"vanhemmuus", "parenting"
"torjunta", "rejection; parry"
"toisenlainen", "different"
"sähkö", "electricity"
"suihku", "shower"
"rosa", "pink; rosy; roseate"
"rohkeus", "courage"
"rauhoittua", "calm down; calm; relax"
"pelto", "field"
"paljastua", "murder will out; turn out to be; come out; get out; show up"
"kysely", "survey; inquiry; poll"
"kuiva", "dry; arid"
"jälkeenpäin", "afterwards; afterward"
"ihailla", "admire; look up to"
"täysillä", "to the limit; to the hilt"
"terapia", "therapy"
"suunnilleen", "about; or so; roughly"
"suojata", "protect"
"sade", "rain"
"puhelu", "call; phone"
"polku", "path; trail"
"pettää", "deceive; cheat"
"pesä", "nest; den"
"myöten", "until"
"lihava", "fat"
"konflikti", "conflict"
"kohota", "elevate"
"kirsi", "frost"
"kirkas", "bright; clear"
"kettu", "fox"
"keskus", "centre"
"julkisesti", "openly; publicly"
"harkita", "consider"
"hajota", "break"
"aho", "glade; clearing; meadow"
"aalto", "wave"
"typerä", "dumb; stupid; foolish"
"tuska", "pain"
"toistaiseksi", "indefinitely; so far; temporarily; thus far; yet"
"näyte", "sample"
"muna", "egg"
"muistella", "reminisce; recall; remember"
"käsittely", "treatment; handling; processing"
"kyseenalaistaa", "question; impugn"
"herkkä", "sensitive"
"allekirjoittaa", "sign"
"ahdistus", "anxiety"
"valmistella", "prepare"
"uudenlainen", "unprecedented"
"soitella", "play; ring; call; telephone; phone"
"sinkku", "single"
"pysyvä", "permanent; constant"
"piirti", "sketched; delineated; designed; drew; pictured"
"piirre", "feature; characteristic; trait"
"parata", "convalesce; heal; improve; liven; unbend"
"palvelus", "service"
"odotus", "expectation; waiting; wait"
"nimetä", "name"
"nalle", "teddy bear; teddy; bear"
"muoti", "fashion"
"melkoinen", "sizable"
"massa", "mass"
"lähde", "source; spring"
"liimata", "glue"
"köyhyys", "poverty"
"kosketus", "contact; touch"
"koppi", "booth; catch"
"kirjata", "log"
"kattaa", "cover"
"jono", "queue"
"huomen", "tomorrow; morning"
"vääntää", "twist"
"vapaasti", "freely; free"
"tuoksu", "odor; perfume; aroma; smell; odour"
"tieteellinen", "scientific"
"mutsi", "mum; mom"
"mars", "march; marching; parade; sea marsh; smallage"
"laatikko", "box; drawer"
"kuvailla", "describe"
"kriittinen", "critical; crucial"
"koris", "basketball; basketball game"
"kierros", "round; tour"
"kanava", "channel; canal; pipeline"
"avoimesti", "openly"
"ääretön", "infinite"
"välttämätön", "necessary; essential"
"suuttua", "get angry; be angry"
"sopeutua", "adapt"
"sokeri", "sugar"
"rauhallisesti", "calmly"
"pettyä", "disappoint; disappointed; let down"
"nuoriso", "youth"
"kukin", "each; each one"
"kokoontua", "gather; assemble"
"kauniisti", "beautifully"
"kansallispuisto", "national park"
"kalja", "beer"
"isku", "blow; impact; hit"
"ilmoitus", "announcement; notice; advertisement"
"hyvinvointi", "prosperity"
"housut", "trousers; pants"
"yllättää", "surprise; catch; catch in the act"
"vähetä", "abate; decrease; diminish; lessen; wane"
"vanki", "prisoner"
"valua", "drip; flow"
"täyteen", "all over"
"työntää", "push"
"tuottaja", "producer"
"taputtaa", "clap; pat; tap; applaud"
"syttyä", "catch fire"
"sisältä", "within"
"seiska", "seven"
"perehtyä", "go into; get into; become familiar with; get acquainted"
"palikka", "block; brick"
"pahoillaan", "sorry"
"myytti", "myth"
"malja", "toast; bowl"
"luonne", "nature; temperament; character; personality"
"kuivua", "dry"
"korottaa", "raise; increase"
"kohtuullinen", "reasonable"
"kohtalo", "fate; destiny"
"kiltti", "kind; kilt"
"kehua", "praise; boast; brag"
"järkyttävä", "disturbing; shocking"
"havainto", "perception; observation"
"haista", "smell; stink"
"fani", "fan"
"ajoissa", "in time; on time; early"
"ajella", "shave"
"ämpäri", "bucket; pail"
"ystävyys", "friendship"
"yllättäen", "suddenly; out of the blue; all at once"
"ylhäällä", "above; up"
"vähemmistö", "minority"
"viini", "wine"
"viina", "liquor"
"vihollinen", "enemy; foe"
"varoa", "watch out; beware; watch"
"teoria", "theory"
"temppu", "trick; gimmick"
"säveltäjä", "composer"
"sija", "place"
"siivooja", "cleaner; charwoman"
"perille", "until"
"parlamentti", "parliament"
"organisaatio", "organization; organisation"
"myöhässä", "late"
"liikkuminen", "moving; pacing; walking; motility"
"levätä", "rest"
"laskeutua", "land; descend"
"kännykkä", "mobile phone; cell phone; cellular phone; cell; mobile"
"kutsu", "invitation; call"
"konsertti", "concert"
"konkreettisesti", "definitely; physically"
"kasvatus", "upbringing; breeding"
"hyötyä", "profit; gain"
"dokumentti", "document"
"varovainen", "careful; cautious"
"vammainen", "disabled; handicapped"
"vaatimus", "claim; demand; requirement"
"touhu", "work; behaviour; play; behavior; procedure"
"tilasto", "statistics; statistic"
"söpö", "cute; sweet"
"reipas", "brisk"
"raju", "violent; fierce; rough"
"rahoittaa", "fund"
"pettymys", "disappointment"
"nolo", "embarrassed"
"lukko", "lock"
"loukata", "hurt; insult"
"kynä", "pen; pencil"
"isäntä", "master; host"
"ihastua", "fall in love; fall for"
"humala", "hops"
"hirvittävä", "hideous; horrible"
"henkisesti", "mentally; spiritually"
"arkkitehtuuri", "architecture"
"anne", "talent; gift; flair for; gift for; capability"
"täyttyä", "filled up; perfuse; suffuse"
"tumma", "dark"
"toimittaa", "supply"
"synti", "sin"
"sopiminen", "consent; fitness; suitability; agreement"
"resepti", "prescription; recipe"
"patsas", "statue"
"paeta", "escape; flee"
"omituinen", "odd; bizarre; strange"
"moottori", "engine; motor"
"maalivahti", "goalkeeper; goalie"
"lämmittää", "warm; heat"
"liittää", "attach"
"keskeyttää", "suspend"
"kasvi", "plant"
"kaivaa", "dig"
"itsenäinen", "independent"
"ennuste", "forecast; prognosis; prediction"
"ennustaa", "predict; foretell; forecast"
"enkeli", "angel"
"eläke", "pension; retirement"
"yrittäminen", "trying"
"väsyttää", "weary; tire"
"virta", "current; river; stream"
"virka", "post; position"
"terveellinen", "healthy"
"sääli", "pity; compassion"
"seksuaalisuus", "sexuality"
"plus", "plus"
"näkemiin", "goodbye"
"makea", "sweet"
"luova", "creative"
"keli", "weather"
"kehittäminen", "developing"
"kauas", "far"
"kaikkea", "everything"
"intressi", "concern; interest"
"hylätä", "abandon; reject; desert"
"hattu", "hat"
"ehdoton", "unconditional"
"avaruus", "space"
"alaspäin", "downward; down"
"yhteiskunta", "society"
"vartalo", "torso; body"
"vajaa", "incomplete; short"
"ukko", "old man; man; hubby"
"tuijottaa", "stare; gaze"
"treeni", "practice"
"tiukasti", "tightly"
"tasku", "pocket"
"sunnuntai", "sunday"
"selitys", "explanation"
"rohkeasti", "boldly; bravely"
"robotti", "robot"
"raportti", "report"
"puristaa", "squeeze; pinch"
"orkesteri", "orchestra"
"neuvoa", "advise; counsel"
"mittari", "meter"
"läheltä", "closely; close up"
"levittää", "spread"
"laajentaa", "expand; extend"
"käskeä", "command; order; tell"
"klubi", "club"
"kansanedustaja", "member of parliament; congressman"
"häät", "wedding"
"hima", "home"
"aukko", "hole; aperture"
"aueta", "open"
"ajautua", "drift"
"väittely", "argument; debate"
"vuori", "mountain"
"tupakka", "tobacco"
"tiimi", "team"
"tienata", "earn"
"synnytys", "childbirth"
"saaminen", "drawing; claim; deriving; determining; developing"
"rehellisesti", "honestly; fairly"
"poisto", "removal; extraction"
"piilottaa", "hide; conceal"
"paula", "snare; trap; ribbon"
"omaisuus", "property"
"länsi", "west"
"lupaus", "promise; vow; pledge"
"luovuus", "creativity"
"leffa", "flick"
"kämppä", "apartment; flat; place"
"kysyntä", "demand"
"kylki", "flank; side"
"koota", "assemble; gather; compile"
"kokeilu", "experiment; trial"
"kerho", "club; society"
"kannattaja", "supporter; follower; advocate"
"julistaa", "declare; announce; pronounce"
"hävetä", "be ashamed; shame"
"hyvästi", "goodbye; farewell"
"hyi", "ugh; yuck; ew"
"hiki", "sweat; perspiration"
"hammaslääkäri", "dentist"
"haastatella", "interview"
"eilinen", "yesterday"
"bisnes", "business"
"aikamoinen", "some; quite an"
"ymmärrys", "comprehension; understanding"
"vointi", "feeling"
"turvata", "secure"
"tulkinta", "interpretation"
"toi", "brought"
"säätää", "regulate"
"sietää", "tolerate; stand; abide"
"puhuminen", "speaking"
"pomo", "boss; chief"
"pituus", "length"
"pentu", "cub; puppy; pup; whelp"
"oppiminen", "learning"
"ne", "they"
"motivaatio", "motivation"
"meikäläinen", "we; our"
"mainos", "advertising; advertisement; commercial"
"lähemmäs", "closer; nearer"
"luostari", "monastery; convent; abbey; cloister"
"kynttilä", "candle"
"kulutus", "consumption"
"kuluttaa", "consume; spend"
"hämärä", "twilight"
"chili", "chilli; chili pepper; chile pepper; chili"
"alhaalla", "below; down; down below; down here; down there"
"vähitellen", "gradually"
"törkeä", "rude"
"toimisto", "office; agency; bureau"
"sävy", "tone"
"savu", "smoke"
"roikkua", "hang"
"rehtori", "principal; headmaster; headmistress"
"ratkaiseva", "decisive; definitive; crucial; pivotal"
"rasismi", "racism"
"näyttäytyä", "make an appearance; put in an appearance"
"moderni", "modern"
"lujaa", "fast; hard"
"liima", "glue"
"kritisoida", "criticise; criticize"
"kovaa", "fast; loud; hard"
"korkeus", "height; altitude"
"kirjoitus", "writing"
"kieltäytyä", "refuse; decline"
"kela", "reel; coil"
"inhimillinen", "human"
"ikuinen", "eternal; everlasting; perpetual; permanent"
"hyppiä", "skip; bounce; jump; hop"
"huolestuttava", "worrying; alarming; troubling"
"heitto", "throw; cast"
"harjoitus", "exercise"
"viimein", "finally"
"vastaanotto", "reception"
"vaihto", "change; exchange; changing; shift"
"työvoimapula", "labour shortage"
"työntekijä", "employee; worker"
"tietoinen", "conscious; alert to; aware"
"teini", "teenager; adolescent"
"taksi", "taxi"
"suunnata", "take aim; direct"
"silta", "bridge"
"sanoma", "message"
"salaa", "surreptitiously; covertly"
"rikastua", "become rich; get rich"
"piippu", "pipe"
"omainen", "relative"
"nauha", "tape; ribbon"
"naru", "rope; cord; string"
"myöhään", "late"
"käytävä", "corridor"
"käsite", "concept"
"kärsimys", "suffering"
"kartta", "map"
"hai", "shark"
"betoni", "concrete"
"yllättyä", "surprise; amaze; be amazed; astonish; wonder"
"vierailla", "visit"
"vastustaja", "opponent; adversary; antagonist"
"varassa", "whereupon"
"torni", "tower; rook"
"syöminen", "eating; consumption"
"syyllinen", "guilty; culpable"
"suosio", "popularity"
"suloinen", "lovely; cute; sweet"
"siipi", "wing"
"serkku", "cousin"
"puuro", "porridge"
"perillä", "there"
"passi", "passport"
"näky", "vision; spectacle"
"nosto", "lift; withdrawal"
"muovi", "plastic"
"läppä", "valve"
"lähin", "nearest; closest"
"käynnistää", "trigger; activate"
"kertyä", "cumulate; gather; accumulate"
"kehdata", "dare; have the nerve; mind; bother"
"kasvain", "growth; tumor"
"insinööri", "engineer"
"hiljaisuus", "silence"
"hiekka", "sand"
"hedelmä", "fruit"
"haitallinen", "harmful; prejudicial; detrimental"
"aita", "fence"
"vähäinen", "slight; minor"
"vähentyä", "decline; go down; wane; wax"
"verkosto", "network"
"vastuullinen", "accountable"
"varasto", "warehouse; stock"
"valvonta", "monitoring; supervision"
"valmistus", "manufacturing"
"turisti", "tourist"
"tiedostaa", "realize; become aware; appreciate; be conscious of; be aware of"
"syntymä", "birthday"
"sukupolvi", "generation"
"risti", "cross"
"pukki", "ram"
"poski", "cheek"
"myötätunto", "sympathy; compassion"
"luoja", "creator"
"lonkka", "hip"
"levoton", "restless; uneasy"
"lammas", "sheep"
"laillinen", "legal; lawful; legitimate"
"kurkku", "throat; cucumber"
"kultainen", "gold; golden"
"kontti", "container"
"keuhko", "lung"
"kaupallinen", "commercial"
"kaasu", "gas"
"iltaisin", "nightly"
"hissi", "lift; elevator"
"hillitä", "rein; contain; curb"
"haitta", "disadvantage; detriment; handicap"
"antibiootti", "antibiotic"
"ahkera", "diligent; hardworking"
