word,translation(s)
"ainakin", "at least; anyway; at any rate; leastwise; for one"
"yritys", "enterprise; firm; attempt; company; try"
"yhdessä", "together"
"ai", "ouch"
"muutama", "a few; few; some"
"jättää", "leave"
"aloittaa", "start; begin"
"viimeinen", "last"
"musta", "black"
"viime", "last; past"
"siksi", "therefore; because; hence; so; consequently"
"tietysti", "of course; naturally"
"lisää", "more"
"vaihe", "phase; stage"
"voi", "butter"
"kirjoittaa", "write; compose; type"
"luulla", "think"
"seurata", "follow; track; watch"
"rakentaa", "build; construct"
"täältä", "from here"
"asti", "until; till"
"toivoa", "hope"
"tavata", "meet"
"pyytää", "request; ask"
"alku", "start; beginning"
"kyse", "question"
"mahdollisuus", "chance; possibility; opportunity"
"läpi", "through"
"kasvaa", "grow; increase"
"ääni", "sound; voice"
"yö", "night"
"jotta", "in order to; so; so that; with the purpose of"
"kanta", "heel"
"päälle", "on; atop"
"selvä", "clear; all right; roger"
"takaisin", "back"
"ikinä", "ever; never"
"vaatia", "demand; claim"
"ystävä", "friend,pal,crony"
"eteenpäin", "forward; onward; forth; onwards"
"sana", "word"
"istua", "sit"
"olo", "being; feeling"
"talo", "house"
"ostaa", "buy; purchase"
"jalka", "foot; leg"
"alue", "region; area; territory"
"oppia", "learn"
"jopa", "even"
"ajaa", "drive"
"yleisö", "public"
"nostaa", "raise; lift; elevate"
"täysin", "entirely; fully; completely; perfectly; totally"
"sekä", "both; and; as well as"
"riittää", "suffice; be enough"
"jotenkin", "somehow; someway; kind of"
"mahtava", "tremendous; grand; awesome; powerful"
"kuolla", "die"
"palata", "return"
"silmä", "eye"
"valita", "choose"
"ratkaisu", "solution; conclusion"
"kokemus", "experience"
"erittäin", "very; most; extremely"
"aamu", "morning"
"tarina", "story; tale"
"ruoka", "food"
"yhtään", "at all; any"
"yksin", "alone; by oneself; solitary"
"luoda", "create"
"pakko", "necessity; have to; compelled to; forced; necessary"
"kesä", "summer"
"vasta", "only; just; newly"
"silti", "nevertheless; however"
"mahdollinen", "possible"
"joten", "hence; therefore; ergo"
"yleensä", "normally; generally; in general"
"tila", "space; state; condition; status"
"moi", "hello; hi"
"musiikki", "music"
"pysyä", "stick; stay; remain"
"minkälainen", "what kind of"
"kotona", "at home; home"
"kestää", "take; last; hold out"
"yhtä", "as; equally"
"ulos", "out; outward; out of"
"lääkäri", "doctor; physician"
"tulevaisuus", "future"
"nopeasti", "fast; quickly; rapidly; swiftly"
"kirja", "book"
"kuunnella", "listen; hear"
"voittaa", "win"
"johtaa", "lead"
"jaksaa", "be able to; manage; feel"
"pelata", "play"
"miljoona", "million"
"anteeksi", "excuse me; sorry"
"sopia", "agree; fit"
"hoito", "therapy; care; cure"
"vanhempi", "parent; senior; older"
"meno", "going"
"tekeminen", "doing; making"
"heittää", "throw; cast"
"tutkia", "examine; search; study; research; survey"
"laskea", "count; estimate; lower; decrease"
"nukkua", "sleep"
"suoraan", "straight"
"raja", "border; boundary; frontier; limit"
"tämmöinen", "like this; this kind of"
"vesi", "water"
"määrä", "amount; quantity"
"muutos", "change; alteration"
"lisätä", "add; augment; increase"
"jatkua", "go on; continue"
"laulaa", "sing"
"tulo", "coming"
"terve", "hello; healthy; hi"
"tapaus", "case; incident"
"potilas", "patient"
"mukava", "nice; pleasant; comfortable; agreeable"
"kauan", "long"
"ohjelma", "program; agenda; scheme"
"käyttö", "use; usage"
"ero", "difference"
"valtio", "state; nation; country"
"onnistua", "work; succeed"
"edelleen", "still; on"
"yhteinen", "joint; common"
"tunne", "feeling"
"tie", "road; way"
"rakastaa", "love"
"puolue", "party"
"verran", "about; approximately; around; roughly; some"
"tietty", "certain; particular; specific"
"leikata", "cut"
"päätös", "resolution; decision; ruling; verdict"
"pitkään", "long"
"kirkko", "church"
"yhteys", "connection"
"suunta", "direction"
"kiinnostaa", "interest"
"keskustella", "discuss; talk; converse"
"keino", "way; means; method"
"herra", "mister"
"suhde", "relation; ratio; relationship"
"joukkue", "team"
"tajuta", "understand; comprehend; realize; grasp"
"kaunis", "beautiful; fair; pretty"
"molemmat", "both"
"kolmas", "third"
"sata", "hundred"
"vastaus", "answer"
"palvelu", "service"
"sillä", "because; for"
"ovi", "door"
"tulos", "result"
"ala", "field"
"päin", "towards"
"aplodi", "acclamation; applause"
"etsiä", "search; look for; seek"
"onneksi", "fortunately; luckily; happily"
"taitaa", "master; probably; is likely to; be able; be able to"
"esittää", "perform; present; play"
"tahansa", "whatever; at all"
"henkilö", "person"
"peli", "game; play"
"lopettaa", "stop; end; cease; finish; terminate"
"puuttua", "intervene"
"tutkimus", "research; survey"
"henki", "spirit"
"toiminta", "action; activity"
"minuutti", "minute"
"kansa", "people"
"vahva", "strong"
"talous", "economy"
"kuulostaa", "sound"
"keskusta", "center; downtown; inner city; centre"
"todeta", "note; notice; ascertain; state; verify"
"yhä", "still; even"
"melkein", "almost; nearly"
"avata", "open"
"malli", "model"
"huomio", "note; attention; notice"
"rakkaus", "love"
"kokeilla", "experiment; try"
"lähellä", "near"
"biisi", "song; terrace chant"
"oikeus", "justice; court"
"maali", "goal; paint; target"
"kuvata", "describe; depict; portray"
"sekunti", "second"
"kello", "clock; watch; bell"
"painaa", "weigh; print"
"ensi", "first; next"
"tutustua", "become acquainted with; familiarize; meet"
"alle", "under; below"
"lisäksi", "moreover; furthermore; what is more; besides; further"
"korkea", "high; tall"
"pistää", "sting; stab"
"kymmenen", "ten"
"taso", "level"
"myydä", "sell"
"porukka", "crowd; gang; bunch"
"kutsua", "invite; call"
"koripallo", "basketball"
"kieli", "language"
"palkka", "salary; wage; pay"
"toki", "surely; certainly; indeed; sure"
"siirtyä", "move"
"lähettää", "send; dispatch"
"keksiä", "think of"
"idea", "idea"
"alas", "down; downward; downwards"
"aihe", "topic; subject"
"ryhmä", "group"
"ylös", "up"
"nauraa", "laugh"
"laulu", "song"
"eläin", "animal"
"tyyppi", "type"
"liikkua", "move"
"loppua", "end; stop; cease"
"julkinen", "public"
"politiikka", "politics; policy"
"vastuu", "responsibility; liability"
"tuolla", "there; yonder"
"myöhemmin", "later; subsequently; afterward; afterwards; later on"
"kulkea", "walk; travel"
"tuottaa", "produce"
"sota", "war"
"takana", "behind"
"pelätä", "fear; be afraid"
"aiheuttaa", "cause; induce"
"usea", "several"
"selvitä", "clear; cope"
"rauha", "peace"
"nykyään", "now; nowadays; today"
"liikaa", "too much; excessively; overly; to a fault"
"jakaa", "divide"
"huoli", "worry; concern"
"toimi", "function"
"poliisi", "police"
"hirveästi", "abysmally; atrociously; awfully; horribly"
"vieras", "guest; strange"
"toisaalta", "however; on the other hand; then again"
"vaihtaa", "change; switch; exchange; barter"
"herätä", "wake up; awake; wake; awaken"
"asema", "station; position"
"opettaja", "teacher"
"väärä", "wrong"
"rooli", "role"
"pyrkiä", "strive; aspire"
"kuusi", "six"
"koulutus", "education"
"juoda", "drink"
"jännittää", "tense"
"kävellä", "walk"
"eniten", "most"
"lentopallo", "volleyball"
"hyväksyä", "accept; approve"
"ainoa", "sole; only"
"päällä", "on"
"tietenkin", "of course; naturally; sure enough; to be sure"
"sydän", "heart"
"vaimo", "wife"
"jalkapallo", "football; soccer"
"opettaa", "teach; instruct; educate"
"uskaltaa", "dare"
"pilli", "whistle; straw"
"leikkaus", "cut; operation; surgery"
"viesti", "message"
"arvo", "value"
"puolesta", "for; pro; on the part of; on behalf; behalf"
"merkitys", "meaning"
"väärin", "wrong; incorrectly; wrongly"
"sattua", "happen; occur; hurt; befall"
"eka", "first"
"valo", "light"
"ohi", "over; past; by"
"metsä", "forest; wood"
"vapaa", "free"
"milloin", "when"
"mielenkiintoinen", "interesting"
"keikka", "gig"
"aikuinen", "adult"
"uudestaan", "anew; again"
"puu", "tree"
"puhe", "speech"
"varma", "sure; certain"
"sisällä", "within; in"
"ratkaista", "decide; solve; resolve"
"sisään", "inside"
"käytäntö", "protocol"
"huomenna", "tomorrow"
"entä", "what about"
"samalla", "even as; simultaneously"
"prosentti", "percent; per cent"
"ali", "under"
"vähemmän", "less"
"johtua", "derive; come; arise; stem; follow"
"entinen", "former"
"luonto", "nature; outdoors"
"välttämättä", "necessarily"
"kissa", "cat"
"kohti", "towards; toward"
"opiskella", "study; learn"
"linja", "line"
"joukko", "group"
"tuki", "support"
"ruveta", "begin; start; enter"
"laji", "species"
"pohja", "bottom"
"kulttuuri", "culture"
"koskea", "touch"
"historia", "history"
"valtava", "huge; colossal; enormous; vast; tremendous"
"poliittinen", "political"
"sosiaalinen", "social"
"alla", "under; below; beneath; underneath"
"luottaa", "trust"
"ehtiä", "have time; be in time; catch; make it"
"tavoite", "goal; aim; objective"
"tarjota", "serve; offer; supply"
"riski", "risk"
"tuttu", "familiar; acquaintance"
"esiin", "forth; forward; out; out of hiding; out in the open"
"johtaja", "leader; head; executive; manager"
"kovin", "very; ever so"
"yrittäjä", "entrepreneur"
"voima", "force; power"
"halu", "desire"
"selvittää", "clear"
"ikävä", "longing; tedious"
"samanlainen", "similar"
"tunnistaa", "identify; recognize"
"suu", "mouth"
"jutella", "chat; talk"
"helposti", "easily; readily"
"soida", "ring"
"perustaa", "establish"
"huutaa", "scream; shout; cry; yell"
"kuolema", "death"
"normaali", "normal"
"pelko", "fear"
"katto", "roof"
"järjestää", "organize; organise; arrange"
"varten", "for"
"ilma", "air"
"valta", "power"
"presidentti", "president"
"sairaus", "illness; disease; sickness"
"pärjätä", "make out; manage; get along"
"pian", "soon"
"varsinkin", "particularly; especially"
"kerätä", "gather; collect; accumulate; assemble"
"lähes", "almost; nearly"
"hienosti", "finely; fine"
"edessä", "before; in front of; in front"
"toivottavasti", "hopefully"
"paperi", "paper"
"vaikutus", "effect; impression; influence; impact"
"kauhea", "hideous; terrible; awful; ghastly"
"kala", "fish"
"ympäri", "around; round"
"viettää", "spend; celebrate"
"tavallinen", "usual; ordinary; common"
"päättyä", "end"
"onni", "happiness; luck"
"aikoa", "intend; going to; plan; mean"
"kevät", "spring"
"tekijä", "factor; author"
"pelottaa", "terrify; scare; intimidate"
"kauppa", "trade; shop; store; commerce"
"myöskin", "also; too; equally"
"kuvitella", "imagine"
"onnellinen", "happy"
"media", "medium; media"
"tukea", "support; hold up; endorse"
"me", "we"
"kulua", "pass; wear out"
"ilo", "joy; happiness"
"iloinen", "cheerful; glad; happy; gay; joyous"
"pöytä", "table"
"jolloin", "whereupon"
"irti", "loose; hands off"
"eteen", "before; forward; for; forth; in front of"
"käsitellä", "handle; process; manipulate; treat"
"tausta", "background"
"kylä", "village"
"kohdata", "confront; meet; face"
"juosta", "run"
"auki", "open; unlocked"
"kunta", "municipality"
"yleinen", "general; common"
"vaate", "garment; clothing; cloth; dress"
"haaste", "subpoena; writ; dare"
"tuote", "product"
"oikeastaan", "actually; really"
"sairaala", "hospital"
"ollenkaan", "at all; the least bit; any; in the least"
"hankala", "difficult; awkward; inconvenient"
"siten", "thus; thereby"
"keskittyä", "concentrate; focus"
"vauva", "baby"
"turha", "useless; unnecessary; vain; futile"
"tarkoitus", "purpose; intention"
"luokka", "class"
"kunto", "fitness"
"esille", "forth"
"verrata", "compare"
"meri", "sea"
"eilen", "yesterday"
"tarpeeksi", "enough"
"suunnitella", "plan; design"
"pohtia", "ponder; reflect"
"vuoro", "turn; shift"
"tuhat", "thousand"
"syksy", "autumn; fall"
"yhtäkkiä", "suddenly; abruptly; all of a sudden"
"saapua", "arrive"
"hinta", "price"
"osoittaa", "point; show"
"kone", "machine; appliance"
"ikä", "age"
"tiukka", "tight; strict"
"siirtää", "move; transfer; shift"
"mainita", "mention"
"lyödä", "hit; beat; knock; strike"
"tottua", "become accustomed to; acclimate; get used to"
"matti", "mate; checkmate"
"lääke", "medicine; drug"
"kehittää", "develop"
"huone", "room"
"työtön", "unemployed"
"tarve", "need"
"peruste", "principle; reason; premise"
"miljardi", "billion"
"luvata", "promise"
"laki", "law"
"menettää", "lose"
"ympäristö", "environment"
"yhteen", "together"
"pitkälle", "far"
"asiakas", "customer; client"
"osallistua", "participate; partake; enter"
"perustua", "based on; rest on; base on"
"numero", "number"
"nopea", "quick; fast; swift"
"aiemmin", "earlier; previously; before; formerly"
"prosessi", "process"
"liike", "motion; shop; store"
"kokoomus", "composition; coalition; consistency"
"samoin", "likewise"
"näköinen", "look; air; mien; appearance"
"metri", "metre; meter"
"kylmä", "cold"
"unohtaa", "forget"
"poistaa", "delete; remove; eject"
"vuoksi", "high tide; for"
"korjata", "correct; amend; mend; repair; reap"
"kasvattaa", "educate; breed; raise"
"ilmeisesti", "apparently; obviously; evidently; supposedly"
"teko", "act; deed; action"
"sopimus", "agreement; contract; treaty"
"ihme", "miracle; wonder"
"eräs", "one; certain; somebody"
"suhtautua", "relate; take a stand; adopt an attitude"
"riippua", "depend on; depend"
"omistaja", "owner"
"merkittävä", "remarkable; significant; notable"
"raskas", "heavy"
"punainen", "red"
"kappale", "piece; copy; paragraph"
"ura", "career"
"tuuli", "wind; mood"
"lopulta", "at last; finally; eventually; in the end; ultimately"
"herättää", "awaken; wake up; awake; arouse; evoke"
"erityisesti", "especially; particularly; specially"
"vika", "fault; defect; flaw"
"täynnä", "full; stuffed"
"toteuttaa", "execute; accomplish; implement"
"kehitys", "development"
"kehittyä", "develop"
"tapahtuma", "event"
"selittää", "explain"
"positiivinen", "positive"
"aikaisemmin", "earlier; before; previously"
"vitsi", "joke"
"outo", "odd; strange; peculiar"
"kääntää", "translate"
"huonosti", "badly; poorly"
"kesken", "between"
"täyttää", "fill"
"lentää", "fly"
"kiire", "hurry; rush; haste"
"joko", "either"
"hypätä", "jump"
"kiittää", "thank"
"kato", "decrease; loss; failure; crop failure; disappearance"
"järjestelmä", "system"
"pelaaja", "player"
"nauttia", "enjoy"
"uskonto", "religion"
"lyhyt", "short"
"lehti", "leaf"
"jatko", "sequel"
"laaja", "wide; broad"
"äsken", "just"
"vahvasti", "strongly; heavily"
"suhteen", "regarding; toward"
"kori", "basket"
"jää", "ice"
"väli", "interval"
"tyytyväinen", "satisfied; content; happy"
"paitsi", "but; besides; only; except"
"kasvu", "growth"
"erota", "divorce; resign"
"vaali", "electoral"
"paikallinen", "local"
"pelkkä", "sheer"
"hirveä", "hideous; horrible"
"duuni", "job; task; work; occupation"
"ainakaan", "at any rate"
"tutkija", "scientist; researcher; investigator"
"rakas", "beloved; dear; darling"
"kohtaan", "to; against; contrary to; opposite to; toward"
"arvioida", "estimate; assess; evaluate; appraise"
"harrastaa", "study; be into; have a habit of"
"ehdottomasti", "absolutely"
"arki", "weekday; workday"
"päästää", "release"
"hiljaa", "quietly; silently; softly"
"unelma", "dream"
"suunnitelma", "plan; design"
"sormi", "finger"
"pikku", "little; small"
"myötä", "along with"
"kommentti", "comment"
"kaivata", "miss"
"vähentää", "deduct; subtract; reduce"
"piha", "yard"
"yhtiö", "company; corporation; firm"
"näyttelijä", "actor"
"merkki", "sign"
"velka", "debt"
"kahvi", "coffee"
"ihmetellä", "wonder"
"aurinko", "sun"
"vara", "resource; reserve; allowance"
"uutinen", "news"
"selkeä", "clear"
"muualla", "elsewhere"
"kärsiä", "suffer"
"ikkuna", "window"
"yhdistää", "connect; merge; combine"
"väliin", "between"
"käynti", "gait"
"kokonaisuus", "whole; entity"
"tosiaan", "true; certainly"
"talvi", "winter"
"ilmoittaa", "announce; inform; report"
"toimittaja", "journalist"
"sivu", "page; side"
"hieman", "a little; slightly; bit; little"
"vakava", "serious"
"vaarallinen", "dangerous; perilous; hazardous; risky"
"minne", "where; whither"
"kunnossa", "straight; all right; alright; safe and sound"
"väittää", "claim"
"ranta", "shore; beach; coast"
"hankkia", "get; obtain; acquire; provide"
"ammatti", "occupation; profession; job"
"valkoinen", "white"
"pinta", "surface"
"näkemys", "view; outlook"
"kovasti", "hard; sorely; bad"
"katu", "street"
"siinä", "there; in that respect; on that"
"kipu", "pain"
"kadota", "disappear"
"valinta", "selection; choice"
"sääntö", "rule"
"vihreä", "green"
"taakse", "astern; behind; beyond"
"ohjata", "steer; drive"
"korva", "ear"
"estää", "hinder; prevent; inhibit; block"
"viimeksi", "last"
"pitkin", "along"
"lähetys", "broadcast; transmission; consignment; shipment"
"kääntyä", "convert"
"kaatua", "fall"
"syvä", "deep"
"seuraavaksi", "next"
"luottamus", "confidence; trust"
"äänestää", "vote"
"periaate", "principle"
"nykyinen", "present; current"
"muoto", "shape; form"
"ikään", "completely; quite; entirely; totally; at all"
"kivi", "stone"
"keskellä", "amid; among; amongst"
"katsella", "watch; look at"
"tuli", "fire"
"tavara", "goods"
"rakennus", "building"
"luopua", "relinquish; abandon; renounce; resign"
"kuitenkaan", "anyways"
"kokonaan", "fully; altogether; totally; completely; entirely"
"vauhti", "speed"
"taivas", "sky"
"myöntää", "grant"
"energia", "energy"
"edetä", "proceed; advance; come on; progress"
"lapsuus", "childhood"
"kiinnostua", "become interested"
"juna", "train"
"hevonen", "horse"
"veli", "brother"
"täydellinen", "perfect; complete; total"
"reissu", "trip; journey"
"puhelin", "telephone; phone"
"perinteinen", "traditional"
"teema", "theme"
"hyöty", "gain; benefit"
"turvallinen", "safe"
"toteutua", "realise; realize; become real"
"tarkka", "exact; accurate; precise; sharp; careful"
"kunnolla", "properly; decent; well"
"välittää", "care; convey; transmit"
"tuleva", "future"
"taito", "skill; craft"
