
"taipumus", "tendency, propensity, inclination",
"satuttaa", "hurt",
"rikollinen", "criminal",
"reippaasti", "briskly",
"pääasiassa", "principally, largely, mainly, primarily, chiefly",
"puuha", "task, business, job, play, work",
"puolestaan", "for one, in turn",
"polkea", "stamp, pedal, tread",
"poikkeava", "aberrant, abnormal, anomalous, deviant",
"pidempi", "taller, longer",
"perhonen", "butterfly",
"onneton", "unhappy, unfortunate, unlucky, distressed",
"näytteleminen", "acting",
"neuvosto", "council",
"murtua", "break, fracture",
"mulkku", "dick",
"mekanismi", "mechanism",
"mato", "worm",
"matkata", "journey, travel",
"läsnäolo", "presence, attendance",
"luovuttaja", "donor",
"liki", "nearly, close to, near, almost",
"lievä", "slight",
"laituri", "pier, jetty",
"laihduttaa", "diet",
"lahjakas", "talented, gifted",
"käsky", "order, command",
"käsikirjoitus", "manuscript, script",
"kypärä", "helmet",
"kuulu", "known, famous, well-known, renowned, celebrated",
"kuppi", "cup",
"kulttuurinen", "cultural",
"kruunu", "crown",
"koululainen", "schoolchild",
"kohdistaa", "direct, aim, address, target, apply",
"kisata", "compete, race",
"kirjain", "letter",
"kiitti", "thanks, cheers",
"kielto", "prohibition, ban",
"keila", "pin",
"jäätelö", "ice cream, ice",
"introvertti", "introvert",
"innokas", "eager, zealous, anxious",
"illallinen", "supper, dinner",
"häviäjä", "loser",
"hurraa", "hurrah, hooray, yippee, yay",
"hitti", "hit, smash",
"hidas", "slow",
"harmi", "bummer, what a pity, trouble, nuisance",
"hame", "skirt",
"epäonnistuminen", "failure",
"epäily", "doubt, suspicion",
"emäntä", "hostess",
"data", "data",
"auktoriteetti", "authority",
"alainen", "subordinate, employee",
"yksinkertaisesti", "simply, plain",
"värittää", "colour, color",
"vilja", "grain, corn",
"vakituinen", "permanent, regular, steady, set in stone",
"vaativa", "demanding",
"vaaka", "scales",
"uusiutuva", "renewable",
"ulottuvuus", "dimension",
"ulkopuolinen", "external, outsider, outside",
"tähden", "for, because of, for the sake of, on account of, out of",
"tuho", "downfall, havoc, destruction, doom",
"tietoisesti", "knowingly, wittingly",
"tervehdys", "greeting, salutation, salute",
"syvyys", "abyss, depth",
"siitä", "from",
"siirtyminen", "transition",
"sieni", "mushroom, fungus",
"ravinto", "nutrition, nourishment",
"pysyvästi", "permanently, for good",
"puhtaasti", "cleanly, purely",
"propaganda", "propaganda",
"positiivisesti", "positively",
"polttoaine", "fuel",
"perustelu", "rationale, argument",
"perusta", "basis, foundation",
"periä", "inherit",
"pelastus", "salvation, redemption, rescue",
"paratiisi", "paradise",
"panos", "contribution",
"painottaa", "emphasize, stress",
"osoittautua", "prove",
"osoite", "address",
"nolla", "zero",
"malttaa", "hold back, refrain, be patient, contain, hold",
"maapallo", "globe, earth",
"maalaus", "painting",
"luopuminen", "abandonment, apostasy, abjuration, relinquishment",
"lukuinen", "many, numerous, much, abundant, abound",
"liikkuvuus", "mobility",
"leikkiminen", "game, lek, play, swivel, courtship",
"lehtinen", "leaflet, booklet, flyer",
"lapanen", "mitten",
"kuutio", "cube",
"kuulustelu", "interrogation, questioning, examination, hearing",
"kolmonen", "three",
"kiljua", "scream, squeal",
"keventää", "lighten, relieve",
"ken", "who",
"kehitellä", "conceive, see, figure, ideate",
"kamppailla", "struggle",
"kahdesti", "twice",
"jospa", "maybe",
"jalo", "noble",
"isosisko", "big sister, elder sister, older sister",
"hyvänsä", "at all, any, -ever, ever, whatever",
"huolto", "maintenance, service",
"huima", "reckless, wild, cruel",
"haku", "search",
"hakija", "applicant",
"etuus", "benefit",
"erinäköinen", "unlike",
"erillinen", "detached, separate, isolated",
"alempi", "inferior, lower",
"albumi", "album",
"alastomuus", "nakedness, nudity",
"yhtenäisyys", "unity",
"välittäjä", "broker, middleman",
"virallisesti", "formally, officially",
"vapautua", "liberalize",
"valmistelu", "preparation",
"vaihde", "gear",
"unelmoida", "dream",
"toipuminen", "recovery",
"tohtori", "doctor",
"terveydenhuolto", "health care, healthcare, health service, health system",
"tarvis", "need, necessity, requirement, want, demand",
"tappelu", "brawl, fight",
"syke", "pulse, heartbeat",
"suunnittelija", "designer, architect, engineer",
"suudella", "kiss",
"sula", "molten",
"suklaa", "chocolate",
"siviili", "civilian",
"siunata", "bless",
"sisar", "sister",
"seistä", "stand",
"sammuttaa", "extinguish",
"salaatti", "salad",
"riehua", "rampage, rage",
"raportoida", "report",
"raaka", "raw",
"purra", "bite",
"pommi", "bomb",
"pimeys", "darkness, dark",
"pikkusisko", "little sister, younger sister",
"pienentää", "reduce",
"peukalo", "thumb",
"peru", "inheritance",
"periytyä", "stem",
"parlamentaarinen", "parliamentary",
"pakata", "compress, wrap, pack",
"näyttämö", "stage",
"nationalismi", "nationalism",
"määräys", "order, decree",
"matsi", "match",
"matematiikka", "mathematics",
"markkinatalous", "market economy",
"mamma", "mama, momma, mommy",
"lehdistö", "press",
"laskelma", "calculation",
"laadukas", "quality",
"kiusallinen", "awkward, embarrassing",
"kiroilla", "swear, curse",
"kiinnittyä", "adhere, stick",
"kellari", "cellar",
"keksintö", "invention",
"katketa", "crack, break, burst, stop, rupture",
"kanssakäyminen", "intercourse",
"kani", "rabbit",
"järjestely", "arrangement, setup",
"häntä", "tail",
"hyväksikäyttö", "exploitation, abuse",
"heiketä", "weaken, deteriorate",
"hali", "hug",
"haistaa", "smell",
"etninen", "ethnic",
"erikoistua", "specialize, specialise",
"demokraattinen", "democratic",
"avaus", "opening",
"ylistää", "praise",
"ylipaino", "obesity",
"yhdistyä", "combine, unite",
"veljes", "brothers, big brother, brethren, bro, brother",
"varautua", "prepare",
"vallita", "rule, reign, dominate, prevail, predominate",
"työmaa", "building site, construction site",
"työllistäminen", "employment, engagement",
"turvattomuus", "insecurity",
"tulipalo", "fire",
"tuleminen", "coming",
"tukeminen", "backing",
"traaginen", "tragic",
"tentti", "examination, exam, test",
"tasa", "level",
"taikina", "dough",
"taika", "magic",
"suututtaa", "devil, gall, aggravate",
"sotku", "clutter",
"solmu", "knot, node",
"sarvi", "horn",
"sanonta", "proverb, idiom, adage, saying",
"saatto", "accompaniment",
"räjäyttää", "explode",
"rennosti", "easy",
"raketti", "rocket",
"pystyttää", "erect, set up, put up",
"purkaminen", "demolition, decompression",
"poikkeus", "exception",
"pienetä", "decrease, become smaller",
"peukku", "thumb, big toe",
"pelästyä", "startle, jump, start, boggle",
"palkansaaja", "wage earner",
"painajainen", "nightmare",
"paikallaan", "in place, immobile",
"murhe", "sorrow, grief, woe",
"monimutkainen", "complex, intricate",
"mittakaava", "scale",
"miellyttää", "please",
"mielikuva", "mental image",
"menettäminen", "losing",
"luola", "cave",
"liina", "cloth",
"lentäminen", "flying, aviation",
"leipoa", "bake",
"kumminkin", "nevertheless",
"kulkija", "wanderer",
"kohtu", "womb, uterus",
"kohtelu", "treatment",
"keskeltä", "between, among, amongst, amid, amidst",
"kasvattaminen", "growing, raising",
"kapellimestari", "conductor",
"kaikkialle", "all over the place, anywhere, everywhere",
"intensiivinen", "intense",
"ihmisyys", "humanity",
"hirviö", "monster",
"hiljattain", "lately, recently",
"hauki", "pike",
"halukas", "willing",
"hajottaa", "break up, scatter",
"feministinen", "feminist",
"elinkeino", "business, occupation, trade, industry, field",
"eksoottinen", "exotic",
"dramaattinen", "dramatic",
"dialogi", "dialogue",
"annos", "dose",
"aiempi", "earlier, previous, former",
"öisin", "in the night, at nights, at night",
"yksinhuoltaja", "single parent",
"viite", "reference",
"viileä", "cool",
"vihje", "tip, clue, hint",
"vetäytyä", "withdraw, back flip",
"vertailla", "compare",
"verensokeri", "blood sugar",
"veikko", "fellow, brother",
"vatsaontelo", "abdominal cavity, abdomen",
"varallisuus", "wealth",
"täti", "aunt",
"työkalu", "tool",
"turvautua", "resort",
"tupa", "cabin",
"tunneli", "tunnel",
"totisesti", "indeed, verily, truly",
"tomaatti", "tomato",
"tasa-arvoinen", "equal",
"syvällinen", "profound, deep",
"syrjä", "edge, border, margin",
"sormus", "ring",
"sittenkin", "still, nonetheless, nevertheless",
"sittemmin", "afterwards, thenceforth, thereafter, from that time on",
"sekava", "fuzzy, disorganized",
"ruokailu", "eating",
"rumpu", "drum",
"rikollisuus", "crime",
"riidellä", "argue",
"rauta", "iron",
"raivo", "fury, rage, wrath",
"päältä", "on top of, over, overhead, from above, above",
"päinvastoin", "vice versa, on the contrary, to the contrary",
"pykälä", "section, article",
"pussi", "bag, pouch",
"psyykkinen", "mental, psychological, psychic",
"pidentää", "prolong",
"persoonallisuus", "personality",
"painua", "subside",
"ottaminen", "capitation",
"onnellisuus", "happiness",
"olento", "being, creature, thing",
"ojentaa", "hand over, present",
"oikeudenmukaisuus", "justice",
"nautinto", "pleasure, delight, enjoyment",
"mystinen", "mystic, enigmatic, mystical",
"murros", "revolution, break, rupture, crisis",
"mitali", "medal",
"mielenkiinto", "interest",
"matkustaja", "passenger",
"löytö", "find, discovery, finding",
"lähteminen", "leaving",
"lyhentää", "abbreviate, shorten",
"liikuttaa", "move",
"leveä", "wide, broad",
"lakko", "strike",
"käteinen", "cash",
"kuohua", "seethe, surge, boil, foam",
"korko", "heel, interest",
"konsti", "gimmick, trick",
"konduktööri", "conductor",
"kiista", "dispute, controversy, debate",
"kiihtyä", "get excited",
"karkottaa", "banish",
"kansi", "cover, deck, lid",
"kansalaisuus", "citizenship, nationality",
"kaari", "arch, arc, curve",
"juontaa", "derive, origin, present",
"joustava", "elastic, flexible, resilient",
"jauhaa", "grind",
"istuttaa", "plant",
"imetys", "breastfeeding",
"hämmästyä", "be amazed, be astonished, be surprised",
"honka", "pine",
"hommata", "procure, secure",
"hiihtää", "ski",
"herkullinen", "delicious, tasty",
"heiluttaa", "wave, wield, wave about",
"hakeminen", "search, hunt, hunting, lookup",
"fantastinen", "fantastic",
"aurinkoinen", "sunny",
"asetus", "decree, statute",
"arvostus", "respect, appreciation",
"alusta", "chassis, platform",
"yksinään", "alone",
"yhteistyö", "cooperation",
"vilkas", "busy, active, lively",
"viikoittain", "weekly, week by week, every week",
"verottaa", "tax",
"venyä", "stretch",
"varoitus", "warning, notice, caution",
"vanhuus", "old age",
"vaikute", "influence, impulse",
"uteliaisuus", "curiosity",
"uhrata", "sacrifice",
"työläinen", "worker",
"tuntu", "savour, feel, feeling, impression, note",
"tulkki", "interpreter",
"tulee", "comes, shall, gonna, will, going to",
"tilaus", "order",
"tehokkuus", "efficiency, effectiveness",
"syrjäytyminen", "marginalisation",
"suo", "swamp, bog, marsh",
"suosia", "promote, prefer, favor, favour, support",
"suolisto", "intestine, intestines, bowels",
"strateginen", "strategic",
"sopivasti", "conveniently, suitably",
"sokea", "blind",
"sijoitus", "investment",
"seuranta", "monitoring",
"sanella", "dictate",
"samanaikaisesti", "simultaneously",
"sallittu", "permitted, allowed",
"saaristo", "archipelago",
"päivittäinen", "daily",
"puolustautua", "fight back",
"nää", "these, those",
"näkymätön", "invisible",
"nähtävästi", "apparently",
"nähtävyys", "attraction, tourist attraction",
"mysteeri", "enigma, mystery",
"muuta", "other things, other",
"lakkauttaa", "cease",
"laiha", "skinny, thin, slim, lean",
"laboratorio", "laboratory, lab",
"kuume", "fever",
"kuntoutus", "rehabilitation",
"kamppailu", "struggle",
"isoäiti", "grandmother",
"ikääntyminen", "ageing",
"hyväksyntä", "approval",
"hirvi", "moose, elk, deer",
"empatia", "empathy",
"avustaja", "assistant, helper, extra, contributor",
"akku", "battery, accumulator",
"aamupala", "breakfast"
