word,translation(s)
"uskonpuhdistus", "reformation"
"uskollinen", "faithful; loyal; true; trusty"
"urakka", "contract; proposition; job; agreement; stint"
"työstää", "work; machine"
"työskentely", "working"
"tyhjentää", "empty; clear; evacuate"
"tv-ohjelma", "television program; television programme; suspenser"
"tuotto", "yield; profit"
"tuiki", "most; as all get-out; blooming; deucedly; durn"
"tuhoutua", "be demolished; be destroyed; be ruined"
"tuhlata", "waste"
"tsekata", "check"
"tragedia", "tragedy"
"tipu", "chick; bird"
"tietämys", "knowledge"
"tehostaa", "make more effective; intensify"
"tasapainottaa", "trim; poise; stabilize; equalize"
"takainen", "back"
"sävel", "melody; tune; note"
"säikähtää", "startle"
"symboli", "symbol"
"suvi", "summer"
"suostumus", "approval"
"suojelu", "protection"
"sivuuttaa", "bypass"
"saunoa", "sauna"
"runoilija", "poet"
"reppu", "knapsack; backpack; rucksack"
"rannikko", "coast"
"rangaista", "punish"
"päätoimittaja", "editor"
"puolikas", "half"
"pieli", "post; stake; frame; jam; jamb"
"perua", "withdraw"
"peremmälle", "further; farther; forward; forth; onwards"
"peppu", "bum; ass"
"peitto", "blanket"
"pakka", "deck"
"painava", "heavy"
"otto", "take; withdrawal"
"oranssi", "orange"
"olohuone", "living room; sitting room; front room; parlor"
"nimittää", "appoint"
"neutraali", "neutral"
"naiivi", "naive; born yesterday"
"mäkinen", "hilly"
"motto", "motto"
"mimmoinen", "what; which; what kind of; what kind; how"
"mestaruus", "championship; title"
"marssi", "march"
"maaperä", "soil; ground"
"löysä", "loose"
"lyönti", "hit; strike; punch"
"luontainen", "inherent; intrinsic; innate; natural"
"linnoitus", "fortress"
"leima", "stamp; seal; label"
"laulaminen", "singing"
"laukaus", "shot; gunshot"
"lapio", "shovel; spade"
"laihduttaminen", "dieting"
"ladata", "load"
"kurki", "crane"
"kuori", "shell; envelope"
"kunnollinen", "decent; proper; respectable"
"kukkula", "hill"
"korkeintaan", "at most; at the most; not more than"
"korjaaminen", "repair; fixing; repairing"
"konteksti", "context"
"kolo", "hole; burrow"
"kirosana", "dirty word; swear word"
"kirkollinen", "ecclesiastical"
"kippis", "cheers"
"kierre", "spiral; twist"
"katolinen", "catholic"
"kateus", "envy"
"kanslia", "chancellery"
"jäykkä", "rigid"
"hostelli", "hostel; youth hostel"
"historioitsija", "historian"
"hiljalleen", "little by little; slowly"
"herttainen", "sweet; cute"
"henkilökohtainen", "personal; private"
"helmi", "pearl; bead"
"helikopteri", "helicopter"
"heijastua", "reflect"
"harjata", "brush"
"hankkiminen", "acquisition"
"hana", "tap; faucet"
"gramma", "gram"
"erivärinen", "multicolored; motley; variegated; varicolored; varicoloured"
"elämys", "experience"
"asiantuntija", "expert; authority"
"apulainen", "assistant; helper"
"akuutti", "acute"
"ajokortti", "driving licence"
"älykäs", "intelligent; bright"
"ylpeys", "pride"
"yliopistollinen", "academic; academical; scholastic; university"
"yhteisymmärrys", "rapport"
"väylä", "bus; fairway"
"viikonloppu", "weekend"
"vihkiä", "marry"
"vastaanottaa", "receive"
"vakuutus", "insurance"
"vaikeuttaa", "frustrate; disturb; hinder; hit; interfere"
"vaikeasti", "badly; arduously; bad; bitterly; gravely"
"utelias", "curious; inquisitive"
"uskottava", "plausible; believable; credible"
"useasti", "repeatedly; many times; often"
"tölkki", "jar"
"työpaikka", "workplace"
"tolppa", "pole"
"toiseksi", "secondly; second"
"toimiminen", "operating"
"tiiviisti", "tightly; tight"
"teologia", "theology"
"tatuointi", "tattoo"
"tarmo", "vigor"
"tarha", "kindergarten; pound"
"tallentaa", "record"
"taisto", "battle"
"säännöllinen", "regular"
"syrjäytyä", "avoid; step aside; go away; eschew; retire"
"suhteuttaa", "proportion; correlate; harmonize"
"sipuli", "onion"
"sijainti", "location; position"
"rumpali", "drummer"
"ritari", "knight"
"riippumattomuus", "independence"
"rasittaa", "strain"
"ranka", "shank; backbone; skeleton; stalk; stem"
"rajusti", "fiercely"
"pääosin", "mainly"
"pyrkimys", "aspiration; endeavor"
"punnita", "weigh"
"possu", "piglet; pig; piggy"
"pomppia", "jump"
"piti", "held; liked; wore"
"pitempi", "longer; taller"
"pienyrittäjä", "self-employed; small undertaker"
"pesu", "wash; washing"
"patti", "knot"
"pasta", "pasta"
"parhaillaan", "at present; presently; at the moment"
"orja", "slave"
"omistus", "dedication"
"näkyvyys", "visibility"
"nykypäivä", "today"
"norsu", "elephant"
"neurologinen", "neurological"
"neula", "needle"
"nelonen", "four; fourth gear"
"naurahtaa", "laugh; smile; laugh at; self-conscious"
"myöhästyä", "miss"
"murtaa", "break"
"mistä", "whence; where from"
"mieluiten", "preferably"
"melu", "noise"
"markkinoida", "market"
"marginaali", "margin"
"maksimi", "maximum"
"lusikka", "spoon"
"lukema", "reading"
"looginen", "logical"
"loistavasti", "fantastically; brilliantly"
"lisäaika", "grace time; grace period; extra time"
"lastensuojelu", "child protection"
"kärry", "cart"
"kutonen", "six; number six"
"kudos", "tissue"
"koto", "home"
"koti-ikävä", "homesickness; nostalgia"
"kostea", "humid; moist; wet; damp"
"koputtaa", "knock"
"kommunikaatio", "communication"
"koetella", "test"
"kirurgi", "surgeon"
"kipulääke", "painkiller"
"kiinteistö", "real estate; property; realty"
"kevyesti", "lightly; light; softly"
"kestävyys", "endurance; stamina; durability"
"katko", "break"
"kategoria", "category"
"kantti", "angle; side"
"järjestäjä", "organizer"
"juristi", "jurist"
"joustaa", "be elastic; be resilient; flex"
"ilmapallo", "balloon"
"idiootti", "idiot"
"hyönteinen", "insect"
"hukata", "waste; lose"
"hirvittää", "horrify; terrify"
"hidastaa", "delay; slow"
"heikkous", "weakness"
"heikentyä", "weaken"
"esiintyjä", "performer"
"epämiellyttävä", "unpleasant"
"ennalta", "a priori; in advance"
"ennaltaehkäisy", "prevention"
"elokuva", "cinema; movie; film"
"elin", "organ"
"aukaista", "untie"
"asuntola", "dormitory; dorm; hall of residence"
"antoisa", "rewarding; productive"
"antiikki", "antique"
"aistia", "sense"
"aamiainen", "breakfast"
"viereinen", "adjacent"
"vertailu", "comparison"
"vastoinkäyminen", "adversity"
"valistus", "enlightenment; education"
"valhe", "lie; white lie"
"vaieta", "be silent; remain silent; keep quiet; keep silent"
"ulkonäkö", "appearance"
"uhkailla", "threaten"
"tästä", "from here"
"tulonsiirto", "transfer payment"
"totaalisesti", "totally; for all the world"
"todistus", "testimony; proof; certificate"
"tipahtaa", "fall off"
"terttu", "cluster; bunch"
"terrorismi", "terrorism"
"tarkastaja", "inspector; supervisor"
"taivuttaa", "conjugate; bend"
"syvään", "deeply"
"suoli", "intestine"
"stereotypia", "stereotype"
"startup", "startup"
"sotilaallisesti", "militarily"
"sirkka", "cricket"
"setä", "uncle"
"seksuaalisesti", "sexually"
"sairaanhoitaja", "nurse"
"röntgenkuva", "X-ray; roentgenogram; X-ray photograph; X-ray picture"
"ruusu", "rose"
"ruokahalu", "appetite"
"rulla", "roll"
"risteys", "intersection; crossing"
"ripustaa", "hang"
"rekka", "lorry; truck"
"rauma", "strait; healthy; sound; well; channel"
"rakennusala", "building trade"
"rajaton", "limitless; boundless; infinite"
"pyykki", "laundry"
"puhuja", "speaker"
"potkaista", "kick"
"piristää", "refresh"
"peto", "beast"
"paukku", "shot"
"palvelija", "servant; attendant"
"pakollinen", "obligatory; compulsory; mandatory; necessary"
"oletus", "hypothesis"
"nukke", "doll; puppet"
"nappula", "man; boy; piece; little boy"
"napa", "navel; belly button; pole"
"myrkky", "poison"
"muotoilla", "mold"
"muistutus", "reminder"
"morjens", "hello; hi; hallo; regards; greetings"
"miltei", "almost; nearly"
"mikin", "every; each; any; all"
"migreeni", "migraine"
"metsästää", "hunt"
"mehu", "juice"
"matkia", "imitate; follow suit; mimic"
"maatalous", "agriculture"
"lääkinnällinen", "medical; medicinal"
"lykätä", "postpone; delay"
"luistella", "skate"
"lohi", "salmon"
"legenda", "legend"
"laukaista", "trigger"
"käänne", "turning point; turn"
"käsin", "by hand; manually"
"kustantaja", "publisher"
"kustantaa", "publish"
"kura", "mud"
"koivisto", "birch grove; birch forest; birch wood; grove of birch trees"
"klassikko", "classic"
"kivulias", "painful"
"kiero", "crooked; twisted"
"kerto", "parallelism"
"keitto", "soup"
"kehä", "ring; circumference"
"kauemmas", "farther; beyond; further"
"katkeruus", "bitterness"
"kaipuu", "yearning; longing"
"kahle", "chain"
"jyrkkä", "steep"
"juusto", "cheese"
"irtisanominen", "dismissal"
"iltasatu", "bedtime story"
"hämmästyttävä", "amazing; astonishing"
"huomattava", "notable; outstanding; remarkable"
"hieroa", "rub; massage"
"hehtaari", "hectare"
"haistella", "sniff"
"haikea", "wistful"
"hahmotella", "draft; sketch; draw; outline; rough"
"eutanasia", "euthanasia"
"epäilys", "doubt"
"ensisijainen", "primary"
"ennakoida", "anticipate; predict; foresee"
"ehkäisy", "contraception; prevention"
"asutus", "settlement"
"askarrella", "job; tinker; employment; do handicrafts; be busy"
"asianajaja", "barrister; lawyer; attorney; advocate"
"arkinen", "everyday"
"anti", "issue; offering; crop; emission; issuing"
"anteeksianto", "forgiveness"
"alapuolella", "below; beneath; underneath"
"ala-aste", "primary school; elementary school; grade school; low degree; low stage"
"ahdistaa", "oppress; press; depress; harass; pursue"
"välittyä", "communicate itself"
"virtsa", "urine"
"viaton", "innocent"
"vastine", "counterpart"
"vanhentua", "age"
"vaippa", "diaper; nappy"
"upottaa", "sink"
"työelämä", "working life"
"tutkinto", "degree"
"surra", "mourn; grieve"
"surma", "death"
"raivata", "bulldoze; clearing"
"puhelinnumero", "telephone number; phone number; number"
"potentiaalinen", "potential"
"peruuttaa", "cancel"
"perusasia", "main issue; basic question; cardinal problem; knot of the matter; major point"
"nahka", "leather"
"myöhä", "late"
"myyminen", "selling"
"murtuma", "fracture"
"mittaus", "measurement"
"mieltää", "consider; reckon; regard; see; view"
"mehiläinen", "bee"
"mauste", "spice; condiment; seasoning"
"lapsellinen", "immature; childish; infantile; juvenile"
"kosto", "revenge; vengeance"
"keskimmäinen", "middle"
"kera", "with"
"kemiallinen", "chemical"
"kaduttaa", "regret"
"kaamos", "polar night"
"huijaus", "hoax"
"hermostuttaa", "rattle"
"hautajaiset", "funeral; burial"
"eteneminen", "progression; advance"
"epäilyttävä", "fishy; suspicious"
"akka", "hag; queen; old woman"
"abortti", "abortion"
