word,translation(s)
"purkki", "tin; jar"
"pudottaa", "drop"
"poliittisesti", "politically"
"otus", "thing; creature"
"normi", "norm"
"nokka", "beak"
"neste", "liquid; fluid"
"muuri", "wall"
"muurahainen", "ant"
"matkailu", "travel"
"mainio", "excellent; splendid"
"lätkä", "ice hockey; puck"
"luominen", "creation; creating"
"laukku", "bag"
"laiska", "lazy"
"käynnistyä", "go off; start"
"kontrolli", "control"
"kelle", "to whom; to what person; to which person"
"keisari", "emperor"
"kampanja", "campaign"
"julkkis", "famous person; celebrity"
"innoissaan", "excited"
"hahmottaa", "perceive"
"esiintyminen", "appearance"
"enimmäkseen", "mostly; largely"
"autovero", "road tax"
"armo", "mercy; grace"
"yksilöllinen", "individual"
"vuoto", "leak; leakage"
"viestiä", "communicate"
"vesa", "sprout; sapling"
"verenpaine", "blood pressure; pressure"
"vapaaehtoinen", "volunteer"
"tässä", "here"
"tuominen", "present; earning; gift; offering"
"tulinen", "hot; spicy; fiery"
"tarpeen", "necessary"
"tarkastus", "inspection"
"surkea", "poor; pitiful; miserable"
"soitto", "call; ringing"
"silloinen", "then"
"selvitys", "survey"
"seittemän", "seven"
"sairastaa", "suffer"
"ruutu", "diamonds; diamond; square"
"rentoutua", "relax"
"reima", "bouncing; brisk"
"päätellä", "infer; deduce"
"pyöreä", "round"
"puhaltaa", "blow"
"pinna", "spoke"
"pappa", "grandpa"
"palaveri", "meeting"
"nopeus", "speed; velocity"
"maine", "reputation; fame"
"kyynel", "tear; teardrop"
"kroppa", "body; figure; flesh; shape; solid"
"koru", "jewel; jewellery; jewelry; trinket"
"komedia", "comedy"
"kolmio", "triangle"
"kielteinen", "negative"
"kaupunkilainen", "urban"
"karu", "barren"
"karkki", "candy"
"kalastaja", "fisherman; fisher"
"kaivos", "mine"
"jako", "division; distribution"
"isosti", "big"
"inhottava", "detestable; odious; repulsive; disgusting"
"ilmaisu", "expression"
"hulluus", "madness; insanity"
"halli", "hall"
"eläkeläinen", "pensioner"
"eettinen", "ethical"
"ammatillinen", "occupational"
"vähiten", "least"
"vuosikymmen", "decade"
"vahvistua", "get stronger"
"täydentää", "complement; replenish; complete"
"täydellisesti", "perfectly; totally; to the full; to a T; to perfection"
"tätä", "this"
"tuoli", "chair"
"tunturi", "fell; arctic hill; small mountain"
"toimeentulo", "livelihood"
"tasan", "equally; evenly; even; exactly"
"syyllistyä", "commit; perpetrate"
"suorastaan", "positively; downright; in fact even"
"sitoa", "bind; tie; bandage"
"sisältyä", "include"
"seikka", "affair; circumstance"
"samaistua", "identify"
"ruoho", "grass"
"repiä", "tear; rip; shred"
"päällikkö", "leader; chief; head; boss"
"pätevä", "valid; competent"
"puolustaja", "defender"
"puku", "suit; dress"
"perus", "elementary"
"paniikki", "panic"
"onnea", "congratulations; good luck"
"ohittaa", "bypass"
"myrsky", "storm"
"minkäänlainen", "any kind of"
"merkityksellinen", "significant"
"maila", "stick; bat; club; racket"
"lämpimästi", "warmly; warm"
"loukkaantua", "get wounded; get injured; get hurt"
"likainen", "dirty; filthy"
"lausua", "pronounce"
"känni", "drunkenness; hop; inebriation; intoxication; ebriety"
"kurja", "pitiful; miserable; sad"
"konsepti", "concept"
"koi", "moth"
"koivu", "birch"
"kenraali", "general"
"kalenteri", "calendar"
"kaikennäköinen", "omnifarious; various; of all kinds; every possible; different"
"kaappi", "cupboard; closet; cabinet; wardrobe"
"juhannus", "midsummer"
"instituutio", "institution"
"hengitys", "respiration; breathing"
"heitellä", "throw"
"ennemmin", "sooner; rather"
"diabetes", "diabetes"
"asentaa", "install"
"ankara", "strict; severe"
"ahkeruus", "diligence"
"ymmärrettävä", "understandable"
"viheltää", "whistle"
"vierailu", "visit"
"vedota", "appeal"
"vartija", "guard; guardian; watchman; warden"
"varhainen", "early"
"valloittaa", "conquer"
"valitettava", "regrettable"
"turvapaikanhakija", "asylum seeker"
"toistua", "repeat"
"tasa-arvo", "equality; par; equivalence"
"tarpeellinen", "necessary"
"sähköauto", "electric car"
"sukulainen", "relative"
"seuraaja", "successor"
"seis", "halt"
"ruumis", "body; corpse"
"romanttinen", "romantic"
"riisua", "undress"
"ratsastaa", "ride"
"rasva", "fat"
"rajata", "restrict"
"rahasto", "fund"
"piirustus", "drawing; blueprint"
"persoona", "person; personality"
"oksa", "branch; twig"
"näkyvä", "visible"
"nähden", "about; concerning; regarding; for; toward"
"noi", "those; they; those people"
"motiivi", "motive; motif"
"mittainen", "tall"
"miinus", "minus"
"metodi", "method"
"merkittävästi", "significantly; substantially"
"makaroni", "macaroni"
"läski", "fat"
"läheisyys", "proximity"
"leuka", "chin"
"lepo", "rest"
"leimata", "label"
"lanka", "thread; yarn"
"kuljettaja", "driver"
"kolikko", "coin"
"kiehtova", "intriguing; fascinating"
"julma", "cruel; ferocious; brutal"
"integraatio", "integration"
"informaatio", "information"
"hämmentää", "stir"
"hylly", "shelf"
"hoiva", "care; caring; nursing"
"hereillä", "awake"
"erilaisuus", "diversity"
"erikseen", "separately; apart"
"elävä", "living; alive; live"
"byrokratia", "bureaucracy"
"analysoida", "analyze; analyse; take apart; dissect; break down"
"aisti", "sense"
"yhdistelmä", "combination; composite"
"viljellä", "cultivate; farm"
"varoittaa", "warn"
"vallankumous", "revolution"
"ulkoinen", "external; exterior"
"tähdätä", "take aim; aim"
"tontti", "lot"
"toka", "second"
"tavoittaa", "reach; catch up with"
"sytyttää", "set on fire; light; ignite"
"syntyvyys", "birth rate; birthrate; births; ráta breithe"
"stressata", "sweat"
"sotilaallinen", "military"
"silittää", "iron"
"setti", "set"
"sato", "yield; crop; harvest"
"rutiini", "routine"
"pulla", "bun"
"puhdistaa", "clean; purge; purify"
"peruskoulu", "primary education; grammar school; elementary school"
"paluu", "return; comeback"
"ostaja", "buyer"
"ohella", "along with; besides; in addition; in addition to"
"nielu", "sink; throat; gullet; pharynx"
"muija", "hussy; baggage; girl; wife; woman"
"menehtyä", "perish"
"maksu", "fee; payment"
"löytäminen", "finding"
"leijona", "lion"
"kynsi", "nail; claw"
"kuvastaa", "reflect"
"kuha", "zander; pikeperch"
"koostua", "consist"
"konkurssi", "bankruptcy"
"koe", "test; experiment"
"kiireinen", "busy"
"ketju", "chain"
"katua", "repent; regret"
"kassi", "bag"
"kapea", "narrow"
"kalpa", "sword"
"itsemurha", "suicide"
"epäreilu", "unfair"
"ensiksi", "firstly; first; at first; in the first place"
"bakteeri", "bacterium; bacteria; germ"
"asiallinen", "proper"
"argumentti", "argument"
"ahneus", "greed"
"ahdistelu", "harassment"
"yläpuolella", "above"
"yhdistäminen", "composition; aggregation; combination; conjunction; union"
"viisaus", "wisdom"
"turnaus", "tournament"
"tulli", "customs"
"totella", "obey"
"terveiset", "regards; compliments"
"teollinen", "industrial"
"tasapaino", "equilibrium"
"tasaisesti", "steadily; evenly"
"tarjous", "proposition; offer"
"suosikki", "favorite"
"sulaa", "melt"
"sosiaaliturva", "social security"
"soittaminen", "playing; calling"
"seksuaalirikos", "sexual offence"
"samantyyppinen", "similar"
"sala", "secret"
"saavutus", "achievement; accomplishment"
"ruskea", "brown"
"ruokkia", "feed"
"runsaasti", "plenty; heavily; galore; good deal"
"rintama", "front"
"päällimmäinen", "topmost; uppermost"
"pyöritellä", "twiddle"
"portti", "gate; port"
"pikkupoika", "little boy"
"pieleen", "awry; wrong"
"pidättää", "apprehend; arrest; detain; hold"
"paukkua", "bang; crack; blast; boom"
"paini", "wrestling"
"pahimmillaan", "at worst"
"ottelu", "match; contest; game"
"onnettomuus", "accident; catastrophe; calamity; disaster; misfortune"
"munuainen", "kidney"
"luu", "bone"
"luukku", "hatch; pad"
"lautanen", "plate"
"kuski", "driver"
"kiistää", "deny; contradict"
"katastrofi", "catastrophe; calamity"
"kartano", "manor; mansion"
"kalastaa", "fish"
"indeksi", "index"
"ilmoittautua", "sign up; enroll; register; report"
"hyödyllinen", "useful"
"herätys", "awakening"
"henkilöstö", "personnel; human resources; staff"
"hartia", "shoulder"
"hakemus", "application"
"geeni", "gene"
"epäonnistua", "fail"
"edullinen", "inexpensive; affordable"
"aukio", "square"
"alkoholisti", "alcoholic"
"alentaa", "reduce; lower"
"vailla", "without; lacking"
"kevyt", "light"
"imeä", "suck"
"eriarvoisuus", "inequality"
